cod_departamento;cod_municipio;cod_postal;limite
13;670;135047;Municipio Simit√Ç-Municipio Puerto Wilches-Municipio Puerto Wilches-Via San Pablo-Pozo Azul
13;670;135048;M. Simit√Ç Y Sta. Rosa Del Sur-Municipio Cantagallo-Via San Pablo-Pozo Azul-Mpio. Segovia Y Remedios
13;160;135067;Municipio San Pablo-Municipio Yondo-Mpio. Puerto Wilches-Municipio San Pablo
13;001;130010;Tr  53-Kr 105 Y M. Turbaco-Limite Urbano-Cl  31
13;222;130510;Limite Urbano-Limite Urbano-Kr 6-Limite Urbano
13;683;130520;Limite Urbano-Limite Urbano-Limite Urbano-Limite Urbano
13;873;130530;Limite Urbano-Limite Urbano-Limite Urbano-Limite Urbano
13;647;130540;Cl 39-Cl 14-Kr 10-Kr 53
13;838;131010;Cl 27-Cl 1-Kr 1-Kr 22
13;052;131020;Limite Urbano-Limite Urbano-Limite Urbano-Limite Urbano
13;433;131040;Cl 25-Cl 1-Kr 30-Tv 43
13;442;131060;Limite Urbano-Cl 1 N-Kr 5-Kr 23
13;620;131520;Limite Urbano-Limite Urbano-Limite Urbano-Limite Urbano
13;140;131540;Cl 6-Cl 42-Limite Urbano-Kr 7
13;062;131560;Cl 11-Cl 1A-Limite Urbano-Kr 5A
13;657;132010;Kr 25A-Kr 1-Limite Urbano-Cl 21
13;654;132030;Cl 47-Cl 11-Tv 52-Kr 32
13;894;132040;Kr 24-Kr 1-Cl 1-Limite Urbano
13;244;132050;Cl 48-Cl 25-Kr 64-Kr 32B
13;780;132540;Cl 22-Cl 13-Kr 1-Kr 13
13;188;132550;Cl 1-Limite Urbano-Kr 9-Kr 19
13;468;132560;Limite Urbano-Limite Urbano-Limite Urbano-Limite Urbano
13;440;133020;Kr 1-Limite Urbano-Limite Urbano-Limite Urbano
13;300;133040;Cl 8-Cl 1-Limite Urbano-Kr 14
13;074;133510;Cl 19A-Cl 4-Kr 1-Kr 17
13;667;133530;Cl 4-Cl 22-Kr 31-Kr 5
13;268;133550;Cl 2-Cl 11-Tv 12-Kr 15
13;580;133560;Limite Urbano-Cl 5-Limite Urbano-Kr 9
13;006;134020;Cl 16-Cl 3-Limite Urbano-Limite Urbano
13;810;134040;Cl 3-Limite Urbano-Kr 16-Kr 1
13;655;134060;Limite Urbano-Limite Urbano-Limite Urbano-Limite Urbano
13;458;134070;Cl 10-Cl 1-Kr 13A-Kr 0
13;490;134510;Limite Urbano-Limite Urbano-Limite Urbano-Limite Urbano
13;042;134520;Cl 6-Cl 17A-Limite Urbano-Kr 1
13;473;134540;Cl 23-Cl 5-Kr 11-Kr 0
13;744;135020;Cl 35-Cl 16-Kr 24-Kr 11
13;670;135040;Cl 22-Limite Urbano-Kr 2-Kr 17
13;160;135060;Limite Urbano-Cl 0-Kr 0-Kr 9
17;001;170001;Limite Urbano-Kr 23-Cl 46-Limite Urbano
17;001;170002;Limite Urbano-Kr 23-Cl  63-Cl 46
17;001;170003;Limite Urbano-Limite Urbano-Limite Urbano-Kr 23A Y Cl 63
17;001;170004;Kr 23-M. Villamaria-Kr 23-Cl 39
17;001;170006;Kr 23-M. Villamaria-Cl 39-Ac C/Nario Y Li. Ur.
17;001;170007;Municipio Neiva-Rio Guacaica-Municipio Neiva-Municipio Anserma
17;001;170008;Rio Guacaica-Rio Chinchin√Å-Limite Urbano-Municipio Palestina
17;001;170009;Rio Chinchin√Å-Municipio Villa Maria-Limite Urbano-Municipio Palestina
17;001;170017;Municipio Neiva-Municipio Villamaria-Municipio Herveo-Limite Urbano
17;486;171001;Limite Urbano-Limite Urbano-Kr 1F-Kr 15
17;486;171007;Mpio. Aranzazu Y Salamina-Municipio Manizales-Municipio Marulanda-V√Ça Manizales-Neira-Filadelfia
17;486;171008;Mpio. Filadelfia Y Quinchia-Municipio Manizales-V√Ça Manizales-Neira-Filadelfia-Municipio Anserma
17;272;171027;M. La Merced- Supia Y Riosucio-Municipio Neira-V√Ça Neira-Filadelfia-La Felisa-Mpio. Quinchia Y Neira
17;272;171028;Municipio La Merced-Municipio Aranzazu-Mpio. Aranzazu Y La Merced-V√Ça Neira-Filadelfia-La Felisa
17;050;171047;Mpio. La Merced Y Salamina-Municipio Neira-Municipio Salamina-Municipio Filadelfia
17;653;172001;Limite Urbano-Limite Urbano-Kr 9-Kr 1
17;653;172007;Municipio Pacora-R√Ço Pocito Y Chamberu-R√Ço (Permanente)-Municipio La Merced
17;653;172008;R√Ço Chamberu- Pocito Y (Permanente)-Mpio. Aranzazu Y Neira-Municipio Marulanda-Municipio Aranzazu
17;653;172009;M. Pacora- Aguadas Y Pensilvania-Mpio. Marulanda Y R√Ço (Permanente)-Municipio Pensilvania-R√Ço (Permanente)
17;013;172027;Quebrada Chorrera-Municipio Salamina-Mpio. Sons√Ìn Y Pensilvania-Municipio Pacora
17;013;172028;Mpio. Abejorral Y Sons√Ìn-Municipio Pacora-Q/Da. Chorrera Y Mpio. Sons√Ìn-R√Ço (Permanente)
17;013;172029;M. La Pinta.- Sta. B√Årbara Y Abejorral-Municipio Pacora-R√Ço (Permanente)-Mpio. Valparaiso Y Caramanta
17;513;172047;Municipio Aguadas-Municipio Salamina-Municipio Aguadas-R√Ço (Permanente)
17;513;172048;Munciipio Aguadas-Mpio. La Merced Y Salamina-R√Ço (Permanente)-Mpio. Caramanta Y Marmato
17;388;172067;Municipio Pacora-Mpio. Filadelfia Y Aranzazu-Municipio Salamina-Mpio. Marmato Y Supia
17;446;173001;Cl 10-Limite Urbano-Kr 2-Kr 6A
17;446;173007;Mpio. Salamina Y Pensilvania-Municipio Herveo-Municipio Manzanares-M. Salamina- Neira Y Manizales
17;433;173027;Municipio Pensilvania-Mpio. Herveo Y Fresno-V√Ça Bolivia-Manzanares-Padua-Municipio Marulanda
17;433;173028;Mpio. Pensilvania Y Marquetalia-Municipio Fresno-Mpio. Marque. Y Fresno-V√Ça Bolivia-Manzanares-Padua
17;444;173047;Municipio Pensilvania-Municipio Manzanares-V√Ça Las Marga.-Marque.-El Higuer√Ìn-Municipio Manzanares
17;444;173048;Mpio. Pensilvania Y Saman√Å-Mpio. Fresno Y Mariquita-Municipio Victoria-V√Ça Las Marga.-Marque.-El Higuer√Ìn
17;541;173067;V√Ça Pensilvania-Saman√Å-Mpio. Manzanares Y Marquetalia-Municipio Saman√Å-Q/Da. El Salado Y R√Ço (Permanente)
17;541;173068;Mpio. Nari√Ëo Y Sons√Ìn-Municipio Marulanda-V√Ça Pensil.-Pto. Venus Y Q. El Salado-Municipio Salamina
17;541;173069;Municipio Nari√Ëo-V√Ça Pensilvania-Saman√Å-Municipio Saman√Å-V√Ça Pensilvania-Puerto Venus
17;662;174001;Limite Urbano-Cl 3A-Kr 1-Kr 12
17;662;174007;Municipio Argelia-V√Ça Pueblonuevo-Los Pomos-Municipio Norcasia-Municipio Nari√Ëo
17;662;174008;V√Ça Pueblonuevo-Los Pomos-Municipio Pensilvania-V√Ça Pensilvania-Saman√Å-Los Pomos-Municipio Pensilvania
17;662;174009;Municipio Norcasia-Municipio Marquetalia-Municipio Victoria-V√Ça Pensilvania-Saman√Å-Los Pomos
17;867;174037;V√Ça La Dorada-La Pradera-Mpio. Mariquita Y Honda-Munciipio La Dorada-Mpio. Saman√Å Y Marquetalia
17;867;174038;Mpio. Norcasia Y La Dorada-V√Ça La Dorada-La Pradera-Municipio La Dorada-Municipio Saman√Å
17;495;175001;Limite Urbano-Limite Urbano-Limite Urbano-Limite Urbano
17;495;175007;Municipio Sons√Ìn-Mpio. Saman√Å Y Victoria-Mpio. La Dorada Y Victoria-Municipio Saman√Å
17;380;175031;Cl  31-Rio Magdalena-Rio Magdalena-Limite Urbano
17;380;175037;Mpio. Sons√Ìn Y Pto. Boyac√Å-R√Ço Ponton√Å-Mpio. Puerto Salgar-Mpio. Norcasia Y Victoria
17;380;175038;R√Ço Ponton√Å-Municipio Honda-Mpio. Pto. Salgar Y Guaduas-Municipio Victoria
17;873;176001;Limite Urbano-Limite Urbano-Kr 0-Limite Urbano
17;873;176007;Municipio Manizales-Mpio. Pereira Y Murillo-M. Herveo- Casabianca Y Villahermo.-V√Ça Manizales-Irlanda Y M. Sta. R. C.
17;873;176008;Municipio Manizales-Mpio Sta. Rosa De Cabal-V√Ça Manizales-Irlanda-Municipio Chinchin√Å
